通道号,程序号,循环号,日期,时间,拧紧结果,扭矩,角度,扭矩曲线
51,2,13079,2021-08-04,14:21:23.266,NOK,0.36Nm,180.2Grad,0.01 0.01 0.01 0 0.01 0 0 0.01 0 0.097 0.097 0.107 0.107 0.117 0.185 0.175 0.146 0.175 0.273 0.273 0.195 0.166 0.214 0.166 0.166 0.282 0.263 0.273 0.321 0.282 0.273 0.282 0.321 0.292 0.302 0.36 0.302 0.282 0.351 0.302 0.292 0.341 0.282 0.282
51,2,13079,2021-08-04,14:21:23.266,NOK,2.17Nm,998.3Grad,0.282 0.282 0.282 0.282 0.331 0.263 0.282 0.243 0.263 0.243 0.243 0.302 0.243 0.204 0.146 0.107 0.088 0.097 0.078 0.107 0.156 0.224 0.195 0.156 0.127 0.166 0.214 0.243 0.253 0.419 0.487 0.594 0.633 0.594 0.506 0.438 0.545 0.633 0.945 1.509 1.802 1.996 1.295 1.86 1.879 2.025 2.055 2.016 2.055 2.035 1.996 1.987 1.977 2.055 2.113 2.103 2.113 2.103 2.064 2.074 2.055 2.113 2.172 2.113 2.103 2.113 2.055 2.016 2.035 2.094 2.084 2.074 2.064 2.025 2.006 1.987 1.967 1.977 1.957 1.948 1.938 1.977 1.987 1.938 1.977 2.016 1.996 2.035 2.074 2.035 1.938 1.977 1.996 1.996 2.035 2.025 2.006 2.016 1.899 0.049 0.039 0.049 0.049 0.029 0.019 0.01 0 0 0 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0 0.01 0.01 0.01 0.01 0.01 0 0.01 0.01 0 0.01 0.019 0.01 0 0.01 0.01 0.01 0.01 0 0.01 0 0 0.01 0.01 0.029 0.019 0.019
